parameter,mle,std_err,ci_lower,ci_upper,p_value
beta_0,2547.582607710445,379.47377221669666,1801.2976460307623,3293.8675693901273,7.494097843934206e-11
beta_1_temp,6795.862556804177,439.4770855763379,5931.573206706096,7660.151906902258,1.1913182453731603e-41
beta_2_hum,-2370.231324274757,550.0809954639625,-3452.0377748826822,-1288.4248736668317,2.1242543048361495e-05
sigma,1497.4005517434928,,,,
